;402;10 mai 2018 17:37:03;93;944;
;301;10 mai 2018 17:05:43;92;894;
;501;12 mai 2018 23:08:42;50;378;
;601;13 mai 2018 00:42:37;14;196;
;104;8 mai 2018 17:21:06;5;11;
;0;30 mars 2020 17:31:17;2;93;
;2;6 mai 2018 14:05:21;0;1;
;103;8 mai 2018 17:20:45;0;1;
;101;8 mai 2018 17:20:19;0;2;
;102;8 mai 2018 17:20:33;0;2;
